repo,average_completion_time,total_completion_time,median_completion_time
mem0ai/mem0,28.02202777777778,840.6608333333334
cpacker/MemGPT,16.835287037037038,505.05861111111113
trypear/pearai-master,18.605833333333333,18.605833333333333
milvus-io/milvus,41.46102777777778,1243.8308333333334
qdrant/qdrant,31.036953703703706,931.1086111111111
langchain-ai/langchain,28.477657407407406,854.3297222222222
run-llama/llama_index,8.933388888888889,268.00166666666667
mindee,165.2348717948718,2148.0533333333333,140.71805555555557
mem0ai,121.96239087301588,3414.9469444444444,71.04222222222222
basetenlabs,18.114444444444445,18.114444444444445,18.114444444444445
qdrant,102.47933604336043,4201.652777777777,28.025
milvus-io,435.77913535837996,181719.89944444445,230.8125
triggerdotdev,145.85666666666665,3208.846666666667,30.569166666666668
reflex-dev,165.1838930976431,10902.136944444444,70.96555555555555
gravitl,0.0,0.0,0.0
mito-ds,108.12444444444445,216.2488888888889,167.82222222222222
FlowiseAI,184.72947530864198,21613.348611111112,69.18777777777778
ArroyoSystems,73.92138888888888,517.4497222222222,95.23194444444445
predibase,56.50288888888889,282.51444444444445,36.82972222222222
lightdash,141.31393428747307,51014.33027777778,67.86166666666666
gitpod-io,32.70551587301588,686.8158333333333,23.997222222222224
adap,137.2744191919192,1510.018611111111,69.27972222222222
langfuse,237.98867579908676,34746.346666666665,91.13666666666667
Unleash,172.2208611111111,1722.2086111111112,45.31861111111111
open-telemetry,91.76704248366012,1560.0397222222223,63.841944444444444
anyproto,55.188361111111114,551.8836111111111,46.451388888888886
speklesystems,0.0,0.0,0.0
rigdev,0.0,0.0,0.0
rerun-io,209.50389527458495,36453.677777777775,99.99361111111111
